Date,SP1,SP56337,SP56339,SP56373,SP56385,SP56386,SP74625,SP74626,SP74627,SP74628,SP74629,SP74630,SP74631,SP74640
12/1/1996,38.28212794,37.67140952,26.08849824,28.85466067,29.15369308,44.08151947,39.48098157,40.91291605,46.68022929,37.85205497,37.31419913,34.23578772,31.31447297,35.12488657
1/1/1997,39.26655717,38.96823294,26.37003383,29.327278,30.46617885,45.36517466,40.46685089,42.06907632,47.65515964,38.64699255,38.12980084,35.18494317,31.97598851,36.06010792
2/1/1997,39.92640941,39.38617885,26.71913683,29.70950978,30.78460816,45.85803541,41.16951138,42.76993695,48.48897786,39.35113542,38.90425615,35.72276615,32.6102452,37.05684468
3/1/1997,40.4233045,39.52053868,26.75110917,30.11107815,30.93588515,45.97945251,41.69680638,43.31441683,49.22991387,39.85884124,39.53043272,36.13235248,33.24385319,38.02472703
4/1/1997,40.860022,39.61018679,26.85837519,30.09783211,30.85012576,46.20179945,42.2258846,43.8660165,49.8603554,40.36236874,40.20307051,36.33626663,33.54066712,38.76224633
5/1/1997,41.23293212,39.61819366,26.94390677,29.83393874,30.30792552,46.62632376,42.76961922,44.43696259,50.60845077,40.87530353,40.84851044,36.29263795,33.45490408,38.92688969
6/1/1997,41.59877377,39.60857416,26.99686748,30.24591623,30.23765198,46.66263116,43.22324542,44.92041477,51.26345009,41.29527754,41.33289077,36.43912368,33.72872465,39.00874517
7/1/1997,41.96117668,40.10000456,27.10057156,30.65793976,31.86969425,46.29008256,43.57791343,45.16917265,51.66167791,41.76796597,41.94656324,36.80816586,33.99639924,39.07565125
8/1/1997,42.33427784,40.83755442,27.49691895,30.8823548,33.91529356,46.03664857,43.92747682,45.44848944,52.14481255,42.19572243,42.42221122,37.22526375,34.14982688,39.13058204
9/1/1997,42.86154831,41.18127992,31.05940975,31.23437508,33.85746769,46.68401458,44.55645543,45.93134566,52.60520222,42.9874269,42.78880747,37.49540033,34.3588606,39.14013343
10/1/1997,43.20408307,40.845646,31.06691723,32.20515795,32.56931304,47.06981075,44.96656218,46.39098183,53.13684513,43.34190817,43.20572512,37.66694833,34.94508219,39.19010935
11/1/1997,43.68741432,41.15991921,31.06834341,33.47702631,32.8369301,47.41908646,45.41255644,46.86160784,53.71703481,43.76005718,43.59115642,38.22372573,35.69862512,39.22048432
12/1/1997,44.29950655,42.1178173,31.06834341,34.1181931,34.06787175,48.16931268,45.98089565,47.28972677,54.3729699,44.48457598,44.47336516,38.91957171,36.17772679,39.47611396
1/1/1998,45.26330346,43.26274624,31.50429224,34.6866571,35.89545011,48.796295,46.85849811,48.10330268,54.9705905,45.43302795,45.53263495,40.05742582,37.3061778,41.40693149
2/1/1998,46.05573748,43.66428555,31.78053838,35.02012242,36.01582261,49.41028117,47.76471913,49.14364892,55.87117546,46.18876913,46.37717532,40.55544443,37.88160123,42.32999282
3/1/1998,46.5952345,44.27680603,31.80967963,35.37997025,36.0657411,50.44809118,48.29586664,49.71546246,56.58838081,46.67409938,46.88413132,41.09741532,38.36409483,42.99076998
4/1/1998,47.03118783,44.48923799,31.83823123,35.36519474,36.14053296,50.76450659,48.84787206,50.29531972,57.26709372,47.19458356,47.48521722,41.24507637,38.45826081,43.23967073
5/1/1998,47.40581731,45.20835671,31.98171929,34.31592616,37.60725504,50.91693691,49.37325384,50.86791623,58.0047999,47.66683844,47.99109907,41.25045792,37.87930531,43.31803301
6/1/1998,47.9661377,45.99720602,32.02906072,34.55077013,39.15626227,51.12952308,49.95635401,51.64965865,58.6162968,48.02764495,48.32744258,41.73926668,38.12092657,43.57183788
7/1/1998,48.42864559,47.06161244,32.11091802,34.87806657,40.87584423,51.69686298,50.34131855,51.96920648,59.04422536,48.48538167,48.89468132,42.37110117,38.3966193,43.77770989
8/1/1998,48.89421013,47.47862241,32.43391945,35.05317607,40.68083666,52.57676943,50.85965711,52.51359749,59.76701961,48.97423394,49.43620583,42.69661977,38.64620298,44.13508189
9/1/1998,49.68721726,47.85403454,36.543561,35.35198642,40.49367929,53.37768627,51.8392194,53.48745984,60.62945222,49.95942648,49.79275929,43.02294352,38.93130359,44.40393114
10/1/1998,50.39922341,48.57551808,36.55118621,36.30652195,42.2025159,53.35098032,52.565713,54.47385356,61.54792074,50.39510224,50.12304275,43.67826657,39.53038284,44.50797051
11/1/1998,51.2917624,49.88296791,36.55674907,39.23820426,45.06031435,53.48344131,53.166919,55.14187621,62.45115761,50.92123178,50.77864952,45.23279781,41.2822604,44.6141816
